disease,mortality_1y,mortality_5y,source,confidence
Sickle Cell Anemia in Children,0.5,2.0,"Pediatric SCD; ~95% of US children with SCD reach age 18, low annual mortality",medium
Sickle Cell Disease; Sickle Cell Anemia,1.0,5.0,"Sickle cell disease chronic; reduced life expectancy ~52 yr, low absolute annual mortality",medium
Skin and Subcutaneous Tissue Bacterial Infections,0.5,3.0,Skin/soft-tissue infections (cellulitis); low mortality except severe/comorbid,medium
Skin and Subcutaneous Tissue Bacterial Infections; Skin Structures and Soft Tissue Infections,0.5,3.0,Skin/soft-tissue infections; low mortality except severe/necrotizing,medium
Smoking Among Cancer,8.0,30.0,Smoking-cessation-in-cancer context; using mixed-cancer SEER ~30% 5-yr mortality,low
Spinal Fusion,0.2,2.0,Spinal fusion surgical setting; low perioperative mortality (<0.5%),high
"Spondylitis, Ankylosing",0.2,2.0,"Ankylosing spondylitis chronic inflammatory; modestly elevated CV mortality, low short-term",high
Squamous Cell Carcinoma of the Head and Neck,15.0,50.0,"HNSCC all-stage; overall 5-yr survival ~50-68%, advanced lower (SEER)",medium
Squamous Cell Lung and Head and Neck Cancer,25.0,60.0,"Squamous lung + H&N cancers; lung SCC poorer (5-yr ~25%), combined estimate",low
Staphylococcus Aureus Bacteremia,30.0,40.0,"S. aureus bacteremia 30-day mortality ~18-20%, 90-day ~30%, 1-yr ~30-35%",high
"Stent Thrombosis; Myocardial Infarction, Acute",15.0,25.0,Stent thrombosis/acute MI; stent thrombosis associated with high MI/mortality (~10-25% mortality),medium
Steroid Refractory GVHD,40.0,60.0,"Steroid-refractory acute GVHD; very poor prognosis, ~50-70% mortality",medium
Steroid-Dependent Nephrotic Syndrome,0.5,3.0,"Steroid-dependent nephrotic syndrome (often pediatric); low mortality, relapsing course",medium
Stroke; Secondary Prevention,15.0,40.0,"Ischemic stroke; 30-day ~10-15%, 1-yr ~25-30%, 5-yr ~40-50% (registry); secondary-prevention cohort lower",medium
Subfertility,0.0,0.0,"Infertility/subfertility, non-lethal reproductive condition; mortality ~0",high
Subjects Who Have Participated in a Study of Tivozanib Versus Sorafenib in Kidney Carcinoma,15.0,82.0,Advanced/metastatic RCC (extension cohort); distant RCC 5-yr survival ~18% (SEER),medium
Subjects With Idiopathic Pulmonary Fibrosis,14.0,55.0,"IPF median survival ~3-5 yr; 1-yr mortality ~13-15%, 5-yr ~50-60%",high
Subjects With Platinum Resistant Ovarian Cancer,50.0,90.0,Platinum-resistant ovarian cancer median OS ~11-12 mo; 5-yr survival ~10%,high
Superficial Vein Thrombosis,0.2,2.0,"Superficial vein thrombosis; benign, low mortality (risk from VTE progression)",medium
Surgically Resected Pancreatic Cancer,28.0,80.0,"Resected pancreatic cancer 1-yr survival ~70-75%, actual 5-yr ~17-20% (SEER)",high
Symptomatic Aortic Stenosis; Eligible for Transcatheter Aortic Valve Replacement,15.0,50.0,"Symptomatic severe aortic stenosis; untreated ~50% 2-yr mortality, post-TAVR cohorts ~15% 1-yr",medium
Symptomatic Superficial Vein Thrombosis,0.2,2.0,"Symptomatic superficial vein thrombosis; benign, low mortality",medium
Systemic Sclerosis,5.0,25.0,Systemic sclerosis overall 5-yr survival ~75%; 1-yr ~95%,high
Systemic Sclerosis; Scleroderma; Interstitial Lung Disease,8.0,25.0,SSc-ILD: 5-yr survival ~80-90%; ILD is leading cause of SSc mortality,medium
T2DM; Type 2 Diabetes Mellitus,1.0,8.0,"Type 2 diabetes chronic; low direct 1-yr mortality, modestly elevated 5-yr (CDC/registry)",high
TSH Control in Patients With Chronic Kidney Disease,8.0,30.0,CKD (non-dialysis) cohort all-cause mortality; USRDS/registry. Most severe component = CKD,medium
Tardive Dyskinesia,1.0,5.0,"Movement disorder, not directly lethal; near-background mortality (estimated)",medium
Thalassemia; Iron Overload,2.0,8.0,"Transfusion-dependent thalassemia with iron overload; cardiac complications (registry, estimated)",medium
Therapy of Premature Ventricular Contractions in Patients With Structural Heart Disease,5.0,25.0,Structural heart disease (most severe component); HF/post-MI cohort mortality,medium
Thrombocytopenia in Patients With Chronic Liver Disease,10.0,40.0,Chronic liver disease/cirrhosis (most severe component); decompensated cirrhosis cohorts,medium
Thrombocytopenia; Hematologic Diseases,3.0,12.0,"Thrombocytopenia/hematologic disease, broad; estimated",low
Thromboembolism,8.0,20.0,VTE 1-year all-cause mortality ~10-20% (registry RIETE/cohort),medium
Thrombosis,8.0,20.0,Venous thromboembolism registry all-cause mortality (RIETE/cohort),medium
Thyroid-associated Ophthalmopathy; Dry Eye Syndrome,0.0,1.0,Non-lethal ocular conditions (estimated),high
Thyroidectomy; Thyroid Diseases,0.0,2.0,"Mostly benign/well-differentiated thyroid disease; surgical setting, low mortality (estimated)",medium
Total Blood Loss,0.0,0.0,Non-disease/procedural string (blood loss measurement); set ~0,high
Total Knee Arthoplasty,0.0,1.0,Procedural string (knee arthroplasty); 90-day mortality <0.5% (estimated),high
Tourette Syndrome,0.0,1.0,"Neurodevelopmental disorder, near-background mortality (estimated)",high
Tract Cancer,15.0,45.0,"Generic 'tract cancer' (e.g., urinary/biliary tract); approximate aggregate SEER",low
Tranexamic Acid,0.0,0.0,"Drug name, not a disease; set ~0 per rules",high
Transfusion-dependent Beta-Thalassemia,2.0,8.0,"Transfusion-dependent beta-thalassemia; cardiac iron complications (registry, estimated)",medium
Transient Ischemic Attack; Stroke; Atrial Fibrillation,12.0,40.0,"Ischemic stroke (most severe component); 1-yr mortality ~12-25%, 5-yr ~40-50% (registry)",medium
Trauma Pain,0.0,0.0,Pain symptom string; set ~0,high
Traumatic Hemorrhage,15.0,20.0,Major traumatic hemorrhage acute mortality (trauma registry); much in-hospital,medium
Traveler's Diarrhea,0.0,0.0,"Self-limited infectious diarrhea, negligible mortality (estimated)",high
Treat Cancer,15.0,40.0,Generic 'cancer'; SEER all-sites all-stage ~1-yr 85% / 5-yr ~68% survival,low
Treatment Resistant Late-Life Depression,2.0,10.0,Late-life depression elevated mortality (suicide+medical); geriatric cohort (estimated),medium
Treatment of Acute Pain,0.0,0.0,Pain symptom string; set ~0,high
Treatment of Chronic Hepatitis C Infection,1.0,5.0,Chronic HCV natural history; slow progression to cirrhosis (estimated/cohort),medium
Treatment of Graft-Versus-Host Disease,20.0,50.0,Acute/chronic GVHD; high non-relapse mortality (transplant registry),medium
Treatment of Ocular Inflammation and Pain,0.0,0.0,"Ocular inflammation/pain, non-lethal; set ~0",high
Treatment of Patients With Recurrent or Metastatic Squamous Cell Carcinoma,55.0,90.0,Recurrent/metastatic SCC (head & neck); SEER distant 5-yr survival ~10-30%,medium
Treatment of Type 2 Diabetes,1.0,5.0,Type 2 diabetes low short-term mortality; ~1-2%/yr excess (registry),high
Treatment of the Depressive Episode in Participants With Bipolar I Disorder,1.0,5.0,Bipolar I; elevated mortality (suicide+medical comorbidity) (estimated),medium
Treatment-resistant Depression,1.0,5.0,Major depression elevated all-cause mortality cohorts (estimated),medium
Triple-Negative Breast Neoplasms; Breast Neoplasm; Breast Cancer; Triple-Negative Breast Cancer,10.0,23.0,SEER TNBC all-stages 5-yr survival ~77%; 1-yr ~90%,high
"Trypanosomiasis, African; Sleeping Sickness; Trypanosomiasis; Gambian",30.0,95.0,"HAT (gambiense) natural history: near-100% fatal untreated, median ~3 yr to death (WHO)",medium
Tuberculosis; HIV,15.0,40.0,TB-HIV coinfection; high case fatality (WHO TB report),medium
Tuberculosis; Respiratory Tract Infections; Pneumonia,7.0,15.0,Active TB untreated/treated case fatality (WHO); pneumonia component,medium
Tuberculosis; Tuberculous Meningitis; Drug-Induced Liver Injury,30.0,45.0,Tuberculous meningitis (most severe component); high mortality ~20-40% (cohort),medium
Tuberculosis; Tuberculous Meningitis; Drug-Induced Liver Injury; HIV; IRIS,40.0,55.0,TB meningitis with HIV/IRIS (most severe); very high mortality (cohort),medium
Tumor Lysis Syndrome,21.0,40.0,TLS in-hospital mortality ~21% (NIS); 5-yr dominated by underlying malignancy,medium
Type 2 DIAbetes,1.0,5.0,Type 2 diabetes low short-term mortality (registry),high
Type 2 DiAbetes Mellitus,1.0,5.0,Type 2 diabetes low short-term mortality (registry),high
Type 2 Diabetes Mellitus (T2DM),1.0,5.0,Type 2 diabetes low short-term mortality (registry),high
Type 2 Diabetic Patients,1.0,5.0,Type 2 diabetes low short-term mortality (registry),high
Type II; Diabetes,1.0,5.0,Type 2 diabetes low short-term mortality (registry),high
Type1 Diabetes Mellitus,1.0,4.0,Type 1 diabetes low short-term mortality; modest excess (registry),high
Type2 Diabetes Mellitus,1.0,5.0,Type 2 diabetes low short-term mortality (registry),high
Uncomplicated Knowlesi Malaria,1.0,1.0,"Uncomplicated malaria; low case fatality if treated (WHO, estimated)",medium
Uncomplicated Urinary Tract Infection,0.0,0.0,"Uncomplicated UTI, negligible mortality (estimated)",high
"Unspecified Adult Solid Tumor, Protocol Specific",20.0,50.0,Generic adult solid tumor; approximate aggregate SEER (estimated),low
Untreated Patients With Follicular Lymphoma,4.0,11.0,SEER follicular lymphoma 5-yr survival ~89%; 1-yr ~96%,high
Urinary Bladder Neoplasms,11.0,22.0,SEER bladder cancer all-stages 1-yr survival ~89% / 5-yr ~78%,high
Urinary Bladder Overactive; Overactive Bladder; Urgency Incontinence; Urinary Bladder Diseases\Urologic Diseases,0.0,1.0,"Overactive bladder, non-lethal benign urologic condition (estimated)",high
Urinary Bladder Overactive; Urinary Bladder Diseases\Urologic Diseases; Overactive Bladder; Urgency Incontinence,0.0,1.0,"Overactive bladder, non-lethal benign urologic condition (estimated)",high
Urinary Retention; Urinary Tract Infections,0.0,1.0,"Urinary retention / UTI, low mortality (estimated)",medium
Urinary Symptoms in Parkinson Disease,4.0,25.0,"Parkinson disease (most severe component); ~2-5x mortality, 5-yr ~25% (cohort)",medium
Urinary Tract Infection Complicated; Acute Pyelonephritis,2.0,5.0,Complicated UTI/pyelonephritis; low but non-zero (urosepsis risk) mortality,medium
Urinary Tract Infections,0.0,1.0,"UTI, low mortality except complicated (estimated)",high
Urinary Tract Infections; Acute Pyelonephritis,2.0,5.0,"Pyelonephritis; low mortality, urosepsis in elderly (estimated)",medium
Urologic Diseases; Hypospadias; Undescended Testes; Chordee; Hydrocele; Orchiectomy,0.0,0.0,"Benign congenital/surgical urologic conditions, non-lethal (estimated)",high
"Urologic Diseases; Urinary Bladder, Overactive; Urinary Bladder Diseases",0.0,1.0,Overactive bladder / benign urologic disease (estimated),high
Use in Conjunction With Buprenorphine in Adults With Opioid Use Disorder,2.0,10.0,Opioid use disorder; high overdose/all-cause mortality cohorts,medium
Uterine Myomas,0.0,0.0,"Uterine fibroids, benign, non-lethal (estimated)",high
Vasculitis,10.0,18.0,"ANCA-associated vasculitis 1-yr mortality ~10%, 5-yr ~12-20% (cohort)",medium
Vasomotor Symptoms; Menopausal Symptoms,0.0,0.0,"Menopausal vasomotor symptoms, non-lethal (estimated)",high
Vasoplegic syndrome,28.0,40.0,Vasoplegic syndrome post-cardiac surgery mortality ~25-30% (cohort),medium
Venous Thromboembolism (VTE); Deep Vein Thrombosis (DVT); Pulmonary Embolism (PE); Cancer,25.0,60.0,Cancer-associated VTE (most severe); high 1-yr mortality driven by malignancy (registry),medium
Venous Thromboembolism (VTE); Pulmonary Embolism; Deep Vein Thrombosis (DVT),10.0,20.0,VTE/PE all-cause 1-yr mortality ~10-20% (RIETE/registry),medium
Venous Thromboembolism; Secondary Prevention,8.0,18.0,VTE all-cause mortality (registry); secondary prevention population,medium
Ventilator-associated Bacterial Pneumonia,30.0,45.0,VAP crude mortality ~25-50% (ICU cohort/meta-analysis),medium
Ventricular Septal Defect; Atrioventricular Septal Defect; Primum Atrial Septal Defect,3.0,8.0,"Congenital septal defects; surgical mortality low, AVSD higher (registry, estimated)",medium
Vertigo,0.0,0.0,"Vertigo symptom, non-lethal (estimated)",high
Vertigo; Autonomic Dysfunction,0.0,1.0,"Vertigo/autonomic dysfunction, low mortality (estimated)",medium
"Very Low Risk, Low Risk, or Intermediate Risk MDS Per IPSS-R",10.0,40.0,Lower/intermediate-risk MDS; IPSS-R median survival ~3-8 yr (cohort),medium
Visceral Leishmaniasis,75.0,95.0,VL natural history: >95% fatal untreated within ~2 yr (WHO),medium
Vitiligo,0.0,0.0,"Vitiligo, non-lethal autoimmune skin condition (estimated)",high
Vivax Malaria,1.0,1.0,"Vivax malaria; low case fatality, occasional severe (WHO, estimated)",medium
Vomiting Postoperative,0.0,0.0,"Postoperative nausea/vomiting symptom, non-lethal (estimated)",high
Von Hippel-Lindau Syndrome,1.0,5.0,VHL: near-normal short-term survival; reduced life expectancy over decades (cohort),medium
Vulvovaginal Atrophy; Menopause; Dyspareunia; Painful Intercourse,0.0,0.0,"Menopausal/vulvovaginal symptoms, non-lethal (estimated)",high
Vulvovaginal Candidiasis,0.0,0.0,"Vaginal yeast infection, non-lethal (estimated)",high
Waldenstrom's Macroglobulinemia,10.0,22.0,SEER/ACS Waldenstrom 5-yr relative survival ~78%; 1-yr ~90%,high
With Leukemia,30.0,40.0,"Generic leukemia; SEER all-leukemia 5-yr survival ~65% (aggregate, estimated)",low
With Melanoma,5.0,8.0,SEER melanoma all-stages 5-yr survival ~94%; 1-yr ~98%,medium
With Sarcoma,20.0,35.0,SEER soft-tissue sarcoma all-stages 5-yr survival ~65% (aggregate),low
Withdrawal Syndrome,1.0,5.0,"Substance withdrawal; low if managed, elevated in severe (estimated)",low
Women and Men With Hormone-receptor Positive Locally Advanced or Metastatic Breast Cancer,15.0,70.0,Metastatic HR+ breast cancer; SEER distant 5-yr survival ~30-40%,medium
Wounds and Injuries; Acute Coagulopathy,15.0,20.0,Trauma with acute coagulopathy; high acute mortality (trauma registry),medium
Your Cancer,15.0,40.0,Generic 'cancer'; SEER all-sites all-stage approximate,low
acne,0.0,0.0,"Acne, non-lethal dermatologic condition (estimated)",high
acute malnutrition,10.0,20.0,Severe acute malnutrition case fatality ~5-20% (WHO/cohort),medium
acute pharyngitis,0.0,0.0,"Acute pharyngitis, self-limited, negligible mortality (estimated)",high
acute respiratory distress syndrome,40.0,55.0,ARDS in-hospital mortality ~40% (international cohort); continued post-discharge mortality,high
alcohol use disorder,3.0,15.0,Alcohol use disorder elevated all-cause mortality (cohort/GBD),medium
alcohol use disorder measurement,3.0,15.0,Alcohol use disorder (measurement string) elevated mortality (cohort),medium
alopecia,0.0,0.0,"Hair loss, non-lethal (estimated)",high
amyotrophic lateral sclerosis,34.0,85.0,"ALS 1-yr mortality ~34% (registry); median survival 2-3 yr, most dead by 5 yr",high
androgenetic alopecia,0.0,0.0,"Pattern hair loss, non-lethal (estimated)",high
ankylosing spondylitis,0.0,3.0,Ankylosing spondylitis; modest excess mortality long-term (cohort),medium
arrhythmia,3.0,12.0,"Arrhythmia (broad); AF/ventricular mix, variable mortality (estimated)",low
aspergillosis,30.0,50.0,Invasive aspergillosis; high mortality ~30-50% (cohort),medium
attention deficit hyperactivity disorder,0.0,1.0,"ADHD; slightly elevated mortality (accidents), near-background (cohort)",high
autosomal dominant polycystic kidney disease,1.0,5.0,"ADPKD; slow progression to ESKD over decades (registry, estimated)",medium
binge eating disorder,0.0,2.0,"Binge eating disorder; modestly elevated mortality (cohort, estimated)",medium
blepharitis,0.0,0.0,"Eyelid inflammation, non-lethal (estimated)",high
bronchiectasis,4.0,20.0,Non-CF bronchiectasis; 5-yr mortality ~20% (cohort),medium
cancer,15.0,32.0,"SEER all-sites all-stage: 1-yr survival ~85%, 5-yr ~68%",medium
cannabis use disorder,0.0,2.0,"Cannabis use disorder; low excess mortality (cohort, estimated)",medium
capillary infantile hemangioma,0.0,0.0,"Infantile hemangioma, benign, self-involuting (estimated)",high
cardiorenal syndrome,35.0,60.0,Cardiorenal syndrome high 1-yr mortality (HF+renal cohort); 5-yr high,medium
cardiovascular disease,5.0,20.0,Established CVD secondary-prevention cohorts; ~2-4%/yr mortality,medium
cervical intraepithelial neoplasia,0.0,0.0,"CIN (pre-malignant cervical lesion), non-lethal (estimated)",high
cervical spondylotic myelopathy,1.0,5.0,Cervical myelopathy; low direct mortality (estimated),medium
chronic hepatitis C virus infection,1.0,5.0,Chronic HCV natural history; slow cirrhosis progression (cohort),medium
chronic inflammatory demyelinating polyradiculoneuropathy,1.0,5.0,CIDP long-term mortality ~1-11% (cohort),medium
chronic venous disease,0.0,1.0,"Chronic venous insufficiency, non-lethal (estimated)",high
cocaine dependence,2.0,12.0,Cocaine dependence elevated all-cause mortality (cohort),medium
colorectal cancer,20.0,35.0,SEER colorectal all-stages 5-yr survival ~65%; 1-yr ~83%,high
colorectal carcinoma,20.0,35.0,SEER colorectal all-stages 5-yr survival ~65%; 1-yr ~83%,high
combined generalized and focal epilepsy,1.0,8.0,"Epilepsy elevated mortality (SUDEP, status); ~2-3x general population (cohort)",medium
complicated intra-abdominal infection,8.0,15.0,Complicated intra-abdominal infection; mortality ~5-15% (cohort),medium
congenital heart disease,3.0,8.0,"Congenital heart disease (broad); variable, infant surgical mortality (registry, estimated)",low
congestive heart failure,20.0,50.0,"Heart failure 1-yr mortality ~20%, 5-yr ~50% (Framingham/registry)",high
coronary artery bypass,2.0,10.0,CABG operative mortality ~2%; 5-yr ~10% (STS registry),medium
critical illness,25.0,40.0,"ICU/critical illness; in-hospital ~20-30%, continued post-discharge (cohort)",medium
cutaneous Leishmaniasis,0.0,1.0,"Cutaneous leishmaniasis, rarely fatal (WHO, estimated)",high
depressive disorder,1.0,5.0,Major depression elevated all-cause mortality (cohort),medium
diabeTes,1.0,5.0,Diabetes (type 2 default) low short-term mortality (registry),high
diabetes,1.0,5.0,Diabetes (type 2 default) low short-term mortality (registry),high
diabetes mellitus,1.0,5.0,Diabetes mellitus low short-term mortality (registry),high
diabetic foot infection,5.0,30.0,Diabetic foot infection/ulcer; 5-yr mortality ~30-50% (cohort),medium
diabetic nephropathy,5.0,25.0,Diabetic kidney disease; elevated CV/ESKD mortality (cohort),medium
diabetic neuropathy,2.0,15.0,Diabetic neuropathy; elevated mortality marker of advanced diabetes (cohort),medium
drug-resistant epilepsy,2.0,12.0,Drug-resistant epilepsy; higher SUDEP/mortality than general epilepsy (cohort),medium
drug-resistant focal epilepsy,2.0,12.0,Drug-resistant focal epilepsy; elevated mortality (cohort),medium
dysuria,0.0,0.0,"Dysuria symptom, non-lethal (estimated)",high
end-stage kidney disease,15.0,55.0,"ESKD on dialysis; ~15-20%/yr mortality, 5-yr survival ~40% (USRDS)",high
endometrial hyperplasia,0.0,1.0,Endometrial hyperplasia (pre-malignant); low mortality (estimated),high
epidermolysis bullosa,2.0,5.0,"EB spectrum; most (EBS) near-normal life expectancy, severe JEB high infant mortality (cohort)",medium
erectile dysfunction,0.0,1.0,Erectile dysfunction; non-lethal but CVD marker (estimated),high
excessive daytime sleepiness,0.2,1.0,"symptom, not a lethal disease; baseline population mortality",low
extramammary Paget disease,3.0,15.0,"SEER/cohorts 5y OS 75-95%, mostly non-cancer deaths",medium
facial angiofibroma,0.0,0.5,benign skin lesion (tuberous sclerosis feature); non-lethal,low
filariasis,0.3,2.0,"WHO: chronic disabling NTD, very low direct case-fatality",medium
for Cancer,0.0,0.0,non-disease/parsing fragment; set to ~0,high
gastric adenocarcinoma,43.0,62.0,SEER stomach cancer 5y RS ~38%; 1y RS ~57%,high
generalized tonic-clonic seizures,1.0,5.0,"epilepsy SMR 2-3x; SUDEP ~1/1000/yr, status epilepticus risk",low
genital herpes,0.0,0.2,"HSV-2 chronic, non-lethal except rare neonatal/immunocompromised",high
giant cell arteritis,6.0,20.0,"cohorts 1y survival ~94%, 5y ~79% (near age-matched controls)",medium
glioblastoma multiforme,57.0,93.0,5y survival ~6.8%; ~40-45% survive 1y (median 15-16 mo),high
gonorrhea,0.0,0.1,curable bacterial STI; negligible mortality,high
gram-positive bacterial infections,5.0,8.0,"heterogeneous; treated infections, depends on invasiveness/bacteremia",low
growth hormone deficiency,0.3,2.0,chronic endocrine; modest excess CV mortality if untreated,low
heart failure with reduced ejection fraction,20.0,50.0,"cohorts 1y mortality ~17-20%, 5y ~50%",high
heart transplant rejection,10.0,20.0,"post-transplant 1y survival ~90%, 5y ~80% (rejection a cause)",medium
helminth infection,0.1,1.0,"WHO: chronic, very low direct case-fatality",medium
hemangioma,0.0,0.2,"benign vascular tumor; non-lethal, usually involutes",high
hemophagocytic lymphohistiocytosis,40.0,50.0,"aggressive; adult mortality 40-60%, secondary HLH ~40% at 1y",medium
hepatic encephalopathy,55.0,80.0,1y mortality ~50-64%; cirrhosis+HE 5y survival ~16-22%,high
huntington disease,2.0,12.0,chronic neurodegen; median survival 15-20y after onset,medium
hyperemesis gravidarum,0.1,0.2,pregnancy condition; very low maternal mortality with care,high
hyperhidrosis,0.0,0.0,benign sweating disorder; non-lethal,high
hyperlipidemia,0.5,3.0,"chronic risk factor; low direct mortality, raises CV risk over time",medium
hypertension,0.5,3.0,chronic risk factor; low short-term mortality (CDC/AHA),high
hyperuricemia,0.2,2.0,"chronic metabolic; gout/CKD risk, low direct mortality",medium
idiopathic hypersomnia,0.2,1.0,chronic sleep disorder; baseline population mortality,low
impetigo,0.0,0.1,superficial bacterial skin infection; negligible mortality,high
inflammation,0.0,0.0,"non-specific process, not a disease; set to ~0",high
inflammatory bowel disease,0.5,3.0,Crohn/UC near-normal to slightly elevated mortality (SMR ~1.4),medium
intra-abdominal infection,12.0,20.0,complicated IAI overall mortality ~25-30% in ICU; lower community,medium
intracerebral hemorrhage,47.0,70.0,"population cohorts 1y mortality ~45-50%, 5y ~70%",high
intraoperative hypotension,0.0,0.0,"intraoperative event/setting, not a disease; set to ~0",high
ischemic stroke,25.0,48.0,1y mortality ~25%; 5y ~45-50%,high
isolated growth hormone deficiency type IA,0.5,2.0,"congenital GHD subtype; chronic, treatable with GH",low
juvenile idiopathic arthritis,0.3,1.0,chronic pediatric arthritis; low mortality with modern care,medium
late-onset Pompe disease,1.0,12.0,"chronic; median survival ~27y after dx, respiratory decline",medium
leiomyosarcoma,20.0,50.0,"overall 5y survival ~50% (localized 63%, distant 14%)",medium
lentigo maligna melanoma,2.0,12.0,melanoma in situ/early invasive; good prognosis if treated,medium
limited cutaneous systemic sclerosis,3.0,10.0,"lcSSc 5y survival ~90%, 10y ~80-92%",medium
liver cancer,50.0,80.0,SEER liver 5y RS ~20%; 1y RS ~50%,high
low back pain,0.0,0.2,non-lethal musculoskeletal condition,high
major depressive disorder,0.5,3.0,all-cause SMR ~2x; suicide + natural-cause excess deaths,medium
male infertility,0.0,0.0,reproductive condition; non-lethal,high
melasma,0.0,0.0,benign pigmentation disorder; non-lethal,high
metastatic colorectal cancer,30.0,85.0,SEER distant CRC 5y RS ~15%; 1y RS ~70%,high
methylmalonic acidemia or propionic acidemia,20.0,45.0,"organic acidemias; 5y survival ~50-60%, mut0/PA worse",medium
microcytic anemia with liver iron overload,0.5,2.0,"chronic anemia/IRIDA-type; manageable, low mortality",low
motion sickness,0.0,0.0,transient symptom; non-lethal,high
multiple sclerosis,0.5,4.0,"chronic; life expectancy reduced ~7-10y, low short-term mortality",medium
mutant Melanoma,5.0,15.0,cutaneous melanoma overall SEER 5y RS ~94% but stage-variable,low
myelofibrosis,12.0,50.0,median survival ~5y; ~49% die within 5y,high
myocardial infarction,15.0,35.0,1y mortality ~15% (older ~24%); 5y ~30-51%,high
myotonic dystrophy type 1,1.5,9.0,"chronic; life expectancy reduced to ~50s, ~3x mortality",medium
narcolepsy,0.2,1.0,chronic sleep disorder; baseline population mortality,high
narcolepsy without cataplexy,0.2,1.0,chronic sleep disorder; baseline population mortality,high
neuropathic pain,0.2,1.0,chronic pain syndrome; non-lethal directly,medium
newborn respiratory distress syndrome,8.0,10.0,neonatal RDS mortality ~5-10% with modern NICU care,medium
nocturnal enuresis,0.0,0.0,pediatric bedwetting; non-lethal,high
non-dystrophic myotonia,0.0,0.5,"channelopathy; non-progressive, normal life expectancy",medium
non-functioning pituitary adenoma,0.5,3.0,"benign tumor; modest excess mortality, treatable",medium
obstructive sleep apnea,0.5,5.0,"chronic; severe OSA HR ~1.9 all-cause, treatable with CPAP",medium
ocular trauma,0.0,0.2,localized eye injury; non-lethal,high
of Cancer,0.0,0.0,non-disease/parsing fragment; set to ~0,high
onchocerciasis,0.1,1.0,"river blindness NTD; chronic, low direct case-fatality",medium
opioid withdrawal,0.5,2.0,"withdrawal syndrome; low direct mortality, OD relapse risk",low
opioid-induced constipation,0.0,0.2,GI side effect; non-lethal directly,high
oral lichen planus,0.0,0.5,chronic mucosal; small malignant transformation risk,medium
oral submucous fibrosis,0.5,3.0,premalignant; ~7-13% transform to oral cancer over time,low
organophosphate poisoning,15.0,18.0,acute poisoning case-fatality ~10-25%,medium
orthostatic hypotension,1.0,5.0,"chronic; marker of frailty/CV/autonomic disease, falls risk",low
osteoarthritis,0.3,2.0,non-lethal joint disease; slight excess mortality from comorbidity,medium
otomycosis,0.0,0.0,fungal ear infection; non-lethal,high
palmoplantar pustulosis,0.0,0.2,chronic skin condition; non-lethal,high
pancreatic cancer,67.0,87.0,SEER 5y RS ~13%; 1y RS ~30%,high
pemphigus vulgaris,3.0,8.0,"autoimmune blistering; historically high, now ~5-10% with treatment",medium
peripheral neuropathy,0.3,2.0,"heterogeneous; depends on cause, low direct mortality",low
peroxisome biogenesis disorder,40.0,60.0,"Zellweger spectrum; severe form death <1y, milder survive longer",medium
pheochromocytoma and paraganglioma,3.0,12.0,overall 5y survival ~85-90%; metastatic worse,medium
polymorphic light eruption,0.0,0.0,benign photodermatosis; non-lethal,high
portopulmonary hypertension,15.0,55.0,"1y survival ~85%, 5y ~40-50%",medium
post-kala-azar dermal leishmaniasis,0.0,1.0,non-fatal skin sequela of treated visceral leishmaniasis,medium
post-traumatic stress disorder,0.5,3.0,chronic; elevated suicide and all-cause mortality,low
postoperative ileus,0.5,2.0,post-surgical complication; low direct mortality,low
postoperative urinary retention,0.0,0.5,post-surgical complication; non-lethal,high
premature ejaculation,0.0,0.0,sexual dysfunction; non-lethal,high
presbyopia,0.0,0.0,age-related vision change; non-lethal,high
primary biliary cirrhosis,2.0,12.0,PBC 10y mortality ~20-24%; 5y transplant-free survival ~87%,medium
primary mitochondrial disease,15.0,40.0,"heterogeneous; ~74% die within 10y, severe pediatric forms worse",medium
primary myelofibrosis,12.0,50.0,median survival ~5y; ~49% die within 5y,high
pulmonary tuberculosis,10.0,15.0,global CFR ~15%; treated cohorts ~5-15%,high
pyruvate kinase deficiency,0.5,3.0,chronic hemolytic anemia; near-normal life expectancy,medium
radiation-induced brachial plexopathy,0.5,3.0,"treatment sequela; non-lethal itself, reflects prior cancer",low
refracTory pAncreaTic cancEr,75.0,92.0,refractory/advanced pancreatic cancer; worse than overall SEER ~13%,medium
renal cell carcinoma,10.0,22.0,SEER kidney 5y RS ~78%; 1y ~90%,high
respiratory failure,40.0,55.0,"acute resp failure in-hospital ~20-25%, 1y ~40-50%",medium
retinopathy of prematurity,3.0,5.0,"eye disease of prematurity; mortality reflects prematurity, not ROP",low
rheumatoid arthritis,0.7,5.0,"chronic; SMR ~1.4, life expectancy reduced ~10y",medium
rhinosinusitis,0.0,0.1,common sinus inflammation; negligible mortality,high
rotator cuff tear,0.0,0.0,musculoskeletal injury; non-lethal,high
schistosomiasis,0.5,3.0,"chronic NTD; low CFR (~1/1000/yr), advanced cases higher",medium
severe aplastic anemia,18.0,28.0,treated 5y survival ~70-75%; untreated most die <1y,medium
sialorrhea,0.0,0.2,excessive drooling symptom; non-lethal (aspiration risk in some),low
sickle cell disease,1.0,6.0,"chronic; mean age at death ~43-54y, low short-term mortality",medium
skin infection,0.2,0.5,"heterogeneous; most low, severe cellulitis/necrotizing higher",low
sleep apnea,0.5,5.0,chronic; severe OSA HR ~1.9 all-cause mortality,medium
