disease,placebo_magnitude,endpoint_subjectivity,effect_size_uncertainty,confidence,basis
Schizophrenia; Schizoaffective Disorder; Schizophreniform Disorder; Psychosis NOS,55,80,65,med,"Psychotic-spectrum: subjective clinician-rated symptom scales (PANSS/BPRS), moderate placebo"
Prevention,15,20,15,med,"Prophylaxis/contraception/vaccine: objective event/pregnancy/incidence endpoint, minimal placebo"
portopulmonary hypertension,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Pregnancy; Respiratory Distress Syndrome; Pregnancy Outcomes; Preterm Birth,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
Mild Pulmonary Vascular Disease,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Bronchopulmonary Dysplasia,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
"Colitis, Ulcerative",45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
diabetic neuropathy,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Gastric Bypass; Parathyroid Hormone,30,35,29,med,"Metabolic/endocrine: largely objective lab biomarkers, small placebo drift"
"Hyperparathyroidism, Primary; Hypercalcemia",30,35,29,med,"Metabolic/endocrine: largely objective lab biomarkers, small placebo drift"
Traveler's Diarrhea,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Infections,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Development,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Inguinal Hernia; Femoral Hernia,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Metabolic Syndrome; Endothelial Dysfunction,30,35,29,med,"Metabolic/endocrine: largely objective lab biomarkers, small placebo drift"
intra-abdominal infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
ankylosing spondylitis,40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
Schizoaffective and Schizophreniform Disorders; Schizophrenia,55,80,65,med,"Psychotic-spectrum: subjective clinician-rated symptom scales (PANSS/BPRS), moderate placebo"
Surgically Resected Pancreatic Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
colorectal cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Altitude Sickness,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Pain; Hyperalgesia; Inflammatory Response,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Erosive Esophagitis; GERD,40,55,44,med,"GERD/peptic ulcer/esophagitis: symptom relief is subjective, healing on endoscopy objective; moderate placebo"
Anemia,30,35,29,med,"Benign hematology (anemia/ITP/thrombosis): objective lab/event endpoints, low placebo"
Myelodysplastic Syndrome,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Epilepsy; Generalized Tonic-Clonic Seizures,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
inflammation,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
opioid-induced constipation,70,85,75,med,"Functional GI (IBS/constipation/dyspepsia): high placebo (~30%), patient-reported symptom endpoint"
Autism Spectrum Disorders,55,75,62,med,"Neuro symptomatic (functional/QoL-driven): moderate-high placebo, rating-scale/patient-reported endpoint"
Graft-versus-Host Disease; Immune System Disorders,25,25,22,med,"Transplant/GVHD/immunosuppression: objective rejection/survival/lab endpoints, low placebo"
Idiopathic Nephrotic Syndrome,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Contraceptive Usage,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
cardiovascular disease,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Marfan syndrome,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
polymorphic light eruption,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
transthyretin amyloid polyneuropathy,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
non-dystrophic myotonia,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Cesarean complications,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
"Atypical; Mycobacterium, Pulmonary, Tuberculous",20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Gastroenteritis; Vomiting; Acute Gastroenteritis,70,85,75,med,"Functional GI (IBS/constipation/dyspepsia): high placebo (~30%), patient-reported symptom endpoint"
Chemotherapy Induced Nausea and Vomiting,70,85,75,med,"Functional GI (IBS/constipation/dyspepsia): high placebo (~30%), patient-reported symptom endpoint"
Gastric Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
generalized tonic-clonic seizures,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Coronary Artery Disease (CAD),25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Myocardial Infarction; STEMI,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
hyperlipidemia,18,18,22,high,"Hyperlipidemia: objective lipid lab endpoint, minimal placebo"
Ischemic Cardiomyopathy; Nonischemic Cardiomyopathy; Heart Failure,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Coronary Artery Disease; Angina Pectoris,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
HIV-1 Infections,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
coronary artery bypass,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Intestinal Neoplasm; Perioperative Care,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Cardiovascular Disease; Insulin Resistance; Glucose Intolerance; Obesity,35,45,37,med,Obesity: objective weight endpoint but behavioral placebo/lifestyle effect moderate
Acute Coronary Syndrome; Percutaneous Coronary Intervention,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Coronary Artery Disease; Acute Coronary Syndrome,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
radiation-induced brachial plexopathy,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Cirrhosis; Hepatic Encephalopathy; Hyponatremia,30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
Hemoptysis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Locally Advanced or Metastatic Medullary Thyroid Cancer; Medullary Thyroid Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
obstructive sleep apnea,60,80,67,med,"Sleep/insomnia: high placebo, subjective sleep-quality/latency patient-report endpoint"
Carpal Tunnel Syndrome,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Laparoscopic Colecctomy,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
HIV-1 Infection; Kaposi's Sarcoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Adenocarcinoma of the Pancreas; Advanced Solid Tumors; Cancer; Cancer of Pancreas; Cancer of the Pancreas; Metastases; Metastatic Cancer; Metastatic Pancreatic Cancer; Pancreas Cancer; Pancreatic Cancer; Bone Metastases; Endocrine Cancer; Oncology; Oncology Patients; Solid Tumors; Advanced Malignancy,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
glioblastoma multiforme,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Postmenopausal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Gastroesophageal Reflux Disease; Heartburn,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Hodgkin lymphoma,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Dyslipidemias,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Triple-Negative Breast Neoplasms; Breast Neoplasm; Breast Cancer; Triple-Negative Breast Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Chronic Graft-Versus-Host Disease,25,25,22,med,"Transplant/GVHD/immunosuppression: objective rejection/survival/lab endpoints, low placebo"
Graft Versus Host Disease; Ocular Surface Disease; oGVHD; Ocular Graft vs Host Disease; Brimonidine Tartrate; Lubricant Eye Drops; Ophthalmic Solutions; Graft vs Host Disease,25,25,22,med,"Transplant/GVHD/immunosuppression: objective rejection/survival/lab endpoints, low placebo"
Advanced Solid Tumors,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
"Lymphoma, Non-Hodgkin",18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
huntington disease,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Alzheimer Disease,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Postoperative Urinary Retention,50,65,54,med,"Urologic symptomatic (overactive bladder/BPH/incontinence): high placebo, patient-reported voiding-diary endpoint"
INFECTION,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Cardiothoracic Surgery; Vascular Surgery,40,50,42,med,Wound/surgical-recovery/perioperative: mix of objective (blood loss) and recovery/symptom endpoints
Advanced Non-Squamous Non-Small Cell Lung Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Internal Hemorrhoids,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
intracerebral hemorrhage,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Refractory Colorectal Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
"Atopic Dermatitis; Atopic Dermatitis, Unspecified; Eczema; Eczema, Atopic",45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
Breast Neoplasms; BRCA 1 Gene Mutation; BRCA 2 Gene Mutation,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Primary Myelofibrosis; MPN-associated Myelofibrosis,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Patients With Moderate or Severe COVID-19,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Constipation,70,85,75,med,"Functional GI (IBS/constipation/dyspepsia): high placebo (~30%), patient-reported symptom endpoint"
Radiotherapy; Toripalimab; Sorafenib; Advanced Hepatocellular Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
"Coronavirus Infection; Pneumonia, Viral; Acute Respiratory Distress Syndrome",18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Inclusion Body Myositis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
"Primary MDS (Very Low, Low or Intermediate IPSS-R With <5% Blasts); Anemia",30,35,29,med,"Benign hematology (anemia/ITP/thrombosis): objective lab/event endpoints, low placebo"
Advanced BRAFV600 Wild-type Melanoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Atrial Fibrillation; Cardiac Surgery; Colchicine Adverse Reaction,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Nonalcoholic Steatohepatitis (NASH) With Fibrosis,30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
Hepatocellular Carcinoma; Recurrence,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
"Depressive Disorder, Major",75,85,78,med,"Psychiatric mood/anxiety: large placebo response (~30-40%), subjective symptom-rating-scale endpoint"
Cutaneous Leishmaniasis,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Prostate Cancer; Castration Resistant Prostate Cancer; Pain; Prostatic Neoplasms,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Diffuse Large B-Cell Lymphoma,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Seborrheic Dermatitis; Papulopustular Rosacea,45,65,52,med,"Symptomatic dermatology (pruritus/QoL): moderate placebo, partly patient-reported/clinician-visual endpoint"
HIV Infection; Herpes Simplex Type II; HIV Infections,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
